iter	Passed	Remaining
542	5971	5025
543	5992	5023
544	6013	5020
545	6032	5016
546	6051	5011
547	6079	5014
548	6109	5019
549	6134	5019
550	6154	5015
551	6166	5004
552	6179	4995
553	6192	4985
554	6213	4981
555	6236	4980
556	6259	4978
557	6281	4976
558	6304	4973
559	6325	4970
560	6349	4968
561	6372	4966
562	6395	4964
563	6419	4962
564	6442	4960
565	6465	4957
566	6488	4955
567	6513	4954
568	6538	4952
569	6564	4952
570	6589	4950
571	6615	4950
572	6640	4948
573	6665	4946
574	6692	4946
575	6720	4947
576	6746	4945
577	6771	4943
578	6797	4942
579	6823	4941
580	6844	4935
581	6867	4932
582	6891	4929
583	6914	4925
584	6941	4923
585	6965	4920
586	6991	4919
587	7016	4916
588	7041	4913
589	7067	4911
590	7094	4909
591	7119	4906
592	7141	4901
593	7164	4897
594	7189	4893
595	7211	4888
596	7233	4883
597	7255	4877
598	7277	4872
599	7298	4865
600	7318	4859
601	7339	4852
602	7359	4845
603	7380	4838
604	7400	4831
605	7420	4824
606	7439	4816
607	7460	4809
608	7480	4802
609	7500	4795
610	7520	4787
611	7540	4780
612	7559	4772
613	7577	4763
614	7596	4755
615	7614	4746
616	7632	4737
617	7650	4728
618	7669	4720
619	7688	4712
620	7709	4705
621	7729	4697
622	7749	4689
623	7767	4680
624	7785	4671
625	7803	4662
626	7821	4652
627	7839	4643
628	7856	4633
629	7874	4624
630	7894	4616
631	7912	4607
632	7930	4597
633	7947	4587
634	7964	4578
635	7980	4567
636	8000	4558
637	8020	4550
638	8038	4541
639	8056	4531
640	8075	4522
641	8093	4513
642	8110	4503
643	8128	4493
644	8147	4484
645	8168	4476
646	8190	4468
647	8212	4461
648	8234	4453
649	8256	4445
650	8281	4439
651	8305	4433
652	8329	4426
653	8350	4417
654	8373	4410
655	8397	4403
656	8420	4396
657	8445	4389
658	8465	4380
659	8487	4372
660	8507	4363
661	8528	4354
662	8549	4345
663	8571	4337
664	8591	4328
665	8613	4319
666	8643	4315
667	8678	4313
668	8706	4307
669	8729	4299
670	8750	4290
671	8770	4280
672	8790	4271
673	8810	4261
674	8829	4251
675	8849	4241
676	8868	4231
677	8886	4220
678	8905	4209
679	8924	4199
680	8944	4189
681	8964	4179
682	8985	4170
683	9004	4160
684	9024	4149
685	9044	4139
686	9065	4130
687	9084	4119
688	9103	4109
689	9121	4097
690	9139	4087
691	9157	4076
692	9177	4065
693	9195	4054
694	9214	4043
695	9232	4032
696	9252	4022
697	9272	4011
698	9293	4001
699	9315	3992
700	9333	3980
701	9346	3967
702	9359	3954
703	9383	3945
704	9405	3935
705	9427	3925
706	9449	3916
707	9472	3906
708	9494	3896
709	9515	3886
710	9537	3876
711	9559	3866
712	9582	3857
713	9603	3846
714	9623	3836
715	9643	3825
716	9664	3814
717	9683	3803
718	9695	3789
719	9708	3775
720	9722	3762
721	9742	3751
722	9762	3740
723	9783	3729
724	9804	3718
725	9824	3707
726	9844	3696
727	9864	3685
728	9885	3674
729	9905	3663
730	9926	3652
731	9945	3641
732	9966	3630
733	9986	3619
734	10003	3606
735	10015	3592
736	10028	3578
737	10040	3564
738	10058	3552
739	10079	3541
740	10099	3530
741	10120	3518
742	10140	3507
743	10159	3495
744	10179	3484
745	10200	3472
746	10220	3461
747	10241	3450
748	10262	3439
749	10284	3428
750	10305	3416
751	10327	3406
752	10346	3393
753	10364	3381
754	10383	3369
755	10403	3357
756	10420	3345
757	10439	3332
758	10457	3320
759	10475	3308
760	10494	3295
761	10512	3283
762	10531	3271
763	10549	3258
764	10568	3246
765	10587	3234
766	10606	3222
767	10624	3209
768	10643	3197
769	10661	3184
770	10678	3171
771	10696	3159
772	10713	3146
773	10732	3133
774	10751	3121
775	10769	3108
776	10787	3096
777	10804	3083
778	10821	3070
779	10839	3057
780	10858	3044
781	10878	3032
782	10897	3020
783	10918	3008
784	10937	2995
785	10957	2983
786	10978	2971
787	10998	2958
788	11018	2946
789	11039	2934
790	11058	2921
791	11076	2908
792	11095	2896
793	11113	2883
794	11133	2870
795	11152	2858
796	11172	2845
797	11191	2832
798	11212	2820
799	11231	2807
800	11250	2795
801	11273	2783
802	11293	2770
803	11311	2757
804	11330	2744
805	11348	2731
806	11368	2718
807	11386	2705
808	11405	2692
809	11426	2680
810	11445	2667
811	11464	2654
812	11484	2641
813	11504	2628
814	11525	2616
815	11547	2603
816	11570	2591
817	11593	2579
818	11615	2567
819	11637	2554
820	11657	2541
821	11677	2528
822	11699	2516
823	11718	2503
824	11739	2490
825	11759	2477
826	11778	2463
827	11796	2450
828	11814	2437
829	11832	2423
830	11850	2410
831	11870	2396
832	11889	2383
833	11908	2370
834	11927	2356
835	11945	2343
836	11965	2330
837	11984	2316
838	12003	2303
839	12025	2290
840	12045	2277
841	12064	2263
842	12086	2250
843	12107	2237
844	12128	2224
845	12149	2211
846	12169	2198
847	12190	2185
848	12212	2172
849	12231	2158
850	12250	2144
851	12269	2131
852	12287	2117
853	12305	2103
854	12323	2089
855	12342	2076
856	12362	2062
857	12380	2048
858	12398	2035
859	12416	2021
860	12434	2007
861	12452	1993
862	12470	1979
863	12490	1966
864	12510	1952
865	12529	1938
866	12548	1925
867	12566	1911
868	12585	1897
869	12603	1883
870	12620	1869
871	12636	1854
872	12651	1840
873	12669	1826
874	12686	1812
875	12704	1798
876	12723	1784
877	12740	1770
878	12757	1756
879	12775	1742
880	12791	1727
881	12808	1713
882	12826	1699
883	12842	1685
884	12860	1671
885	12879	1657
886	12902	1643
887	12933	1631
888	12962	1618
889	12988	1605
890	13008	1591
891	13027	1577
892	13048	1563
893	13067	1549
894	13087	1535
895	13107	1521
896	13127	1507
897	13147	1493
898	13168	1479
899	13187	1465
900	13204	1450
901	13222	1436
902	13241	1422
903	13259	1408
904	13278	1393
905	13296	1379
906	13315	1365
907	13334	1351
908	13353	1336
909	13370	1322
910	13388	1307
911	13408	1293
912	13428	1279
913	13449	1265
914	13468	1251
915	13485	1236
916	13503	1222
917	13522	1207
918	13538	1193
919	13556	1178
920	13574	1164
921	13590	1149
922	13606	1135
923	13623	1120
924	13640	1105
925	13657	1091
926	13675	1076
927	13692	1062
928	13709	1047
929	13725	1033
930	13742	1018
931	13759	1003
932	13775	989
933	13792	974
934	13810	960
935	13829	945
936	13849	931
937	13869	916
938	13890	902
939	13910	887
940	13929	873
941	13948	858
942	13967	844
943	13986	829
944	14004	815
945	14021	800
946	14039	785
947	14057	771
948	14075	756
949	14093	741
950	14111	727
951	14129	712
952	14147	697
953	14165	683
954	14182	668
955	14198	653
956	14215	638
957	14232	623
958	14247	609
959	14264	594
960	14280	579
961	14296	564
962	14313	549
963	14330	535
964	14346	520
965	14363	505
966	14380	490
967	14397	475
968	14414	461
969	14433	446
970	14452	431
971	14471	416
972	14490	402
973	14509	387
974	14527	372
975	14548	357
976	14569	342
977	14591	328
978	14612	313
979	14634	298
980	14655	283
981	14676	269
982	14697	254
983	14717	239
984	14736	224
985	14754	209
986	14774	194
987	14794	179
988	14813	164
989	14831	149
990	14850	134
991	14870	119
992	14888	104
993	14909	89
994	14927	75
995	14945	60
996	14989	45
997	15009	30
998	15028	15
999	15047	0
